topic,word
Animals,CHEETAH
Animals,PENGUIN
Animals,KANGAROO
Animals,DOLPHIN
Fruits,WATERMELON
Fruits,STRAWBERRY
Fruits,BLUEBERRY
Fruits,RASPBERRY
Colors,TURQUOISE
Colors,MAGENTA
Colors,INDIGO
Colors,BEIGE
Countries,PERU
Countries,THAILAND
Countries,MEXICO
Countries,SOUTH AFRICA
Celebrities,MERYL STREEP
Celebrities,MICHAEL JACKSON
Celebrities,ROBERT DOWNEY JR
Celebrities,EMMA THOMPSON
Transportation,HELICOPTER
Transportation,TRUCK
Transportation,TRAM
Transportation,YACHT
Fictional Characters,SHERLOCK HOLMES
Fictional Characters,WONDER WOMAN
Fictional Characters,LUKE SKYWALKER
Fictional Characters,HANNIBAL LECTER
Musical Instruments,SITAR
Musical Instruments,BAGPIPES
Musical Instruments,KALIMBA
Musical Instruments,PAN FLUTE
Furniture,RECLINER
Furniture,BAR STOOL
Furniture,CUPBOARD
Furniture,HUTCH
Food,PINEAPPLE
Food,BLACKBERRY
Food,CRANBERRY
Food,PERSIMMON
Movies,THE DARK KNIGHT
Movies,SCHINDLER'S LIST
Movies,THE LORD OF THE RINGS
Movies,TITANIC
Sports,BASEBALL
Sports,GYMNASTICS
Sports,ICE HOCKEY
Sports,SNOOKER
Video Games,THE WITCHER
Video Games,FORTNITE
Video Games,LEAGUE OF LEGENDS
Video Games,ASSASSIN'S CREED
Music,ROCK 'N' ROLL
Music,BLUES
Music,OPERA
Music,DISCO
